salary,employment_type,region,tenure_years,enrolled,hist_enrollment_rate_region,avg_premium_cost_usd,benefits_broker_rating,hr_outreach_capacity,open_enrollment_window_days,state_mandate_level,has_application_date,days_contact_to_app,contact_after_app,no_prior_record,prior_year_enrolled_clean,last_contact_channel_clean,plan_tier_requested_clean,broker_channel_clean,has_dependents_bin,tenure_inconsistent
69038.76,Full-time,Northeast,4.1,1,0.612,455,3.1,151,38,Low,1,12.0,0,0,1,Email,Standard,Direct,0,0
76109.72,Full-time,South,2.5,1,0.628,481,3.3,324,17,Medium,1,15.0,0,0,1,Email,Silver,Employer-Sponsored,0,0
54457.54,Full-time,Midwest,9.4,0,0.617,595,4.4,469,18,High,1,17.0,0,1,0,Phone,Unknown,Employer-Sponsored,0,0
61798.69,Part-time,South,8.2,0,0.628,481,3.3,324,17,Medium,1,10.0,0,1,0,SMS,Silver,Direct,0,1
68830.99,Full-time,South,8.9,0,0.628,481,3.3,324,17,Medium,1,96.0,0,0,0,Unknown,Silver,Direct,0,1
56701.04,Full-time,South,1.2,1,0.628,481,3.3,324,17,Medium,1,17.0,0,0,1,Email,Silver,Employer-Sponsored,1,0
66316.2,Full-time,South,5.2,1,0.628,481,3.3,324,17,Medium,1,17.0,0,0,1,Email,Standard,Third-Party,1,0
80406.05,Full-time,West,9.4,0,0.613,574,4.7,437,28,Low,1,8.0,0,0,0,Phone,Standard,Employer-Sponsored,0,0
52682.13,Full-time,Northeast,5.9,0,0.612,455,3.1,151,38,Low,1,7.0,0,0,0,Email,Unknown,Third-Party,1,1
58280.37,Part-time,Northeast,2.5,0,0.612,455,3.1,151,38,Low,1,9.0,0,1,0,Email,Standard,Employer-Sponsored,0,0
63055.39,Full-time,West,7.1,1,0.613,574,4.7,437,28,Low,1,145.0,0,0,1,Phone,Standard,Employer-Sponsored,1,1
67493.54,Full-time,Northeast,5.6,1,0.612,455,3.1,151,38,Low,1,-15.0,1,0,1,Email,Standard,Employer-Sponsored,1,0
77119.55,Contract,Midwest,5.7,0,0.617,595,4.4,469,18,High,1,6.0,0,0,1,Unknown,Standard,Employer-Sponsored,0,0
48399.09,Full-time,West,1.2,1,0.613,574,4.7,437,28,Low,1,23.0,0,0,0,Email,Basic,Direct,1,0
38626.76,Full-time,South,2.0,1,0.628,481,3.3,324,17,Medium,0,,0,0,1,Unknown,Basic,Direct,1,0
77026.74,Part-time,Northeast,2.7,1,0.612,455,3.1,151,38,Low,1,9.0,0,0,1,SMS,Standard,Employer-Sponsored,1,0
64225.21,Full-time,South,15.0,1,0.628,481,3.3,324,17,Medium,1,8.0,0,1,0,Unknown,Silver,Employer-Sponsored,1,0
81535.61,Full-time,Midwest,0.7,1,0.617,595,4.4,469,18,High,1,7.0,0,1,0,Phone,Silver,Third-Party,0,0
45531.83,Full-time,Northeast,3.0,1,0.612,455,3.1,151,38,Low,1,16.0,0,0,0,Email,Basic,Third-Party,1,0
68132.26,Full-time,Northeast,3.1,1,0.612,455,3.1,151,38,Low,1,1.0,0,1,0,Email,Silver,Third-Party,1,0
50541.66,Full-time,South,6.5,1,0.628,481,3.3,324,17,Medium,1,-39.0,1,0,1,SMS,Bronze,Third-Party,1,0
89832.74,Full-time,Northeast,0.4,1,0.612,455,3.1,151,38,Low,1,1.0,0,1,0,Email,Gold,Direct,1,0
86085.15,Full-time,South,1.7,1,0.628,481,3.3,324,17,Medium,1,16.0,0,1,0,Unknown,Gold,Third-Party,1,0
91122.43,Full-time,South,1.9,1,0.628,481,3.3,324,17,Medium,1,183.0,0,0,1,Unknown,Premium,Direct,0,0
70467.96,Contract,Midwest,10.9,1,0.617,595,4.4,469,18,High,1,10.0,0,0,1,Email,Standard,Third-Party,1,0
70772.67,Full-time,Northeast,1.6,1,0.612,455,3.1,151,38,Low,1,23.0,0,1,0,SMS,Silver,Employer-Sponsored,1,0
85352.03,Part-time,West,3.8,0,0.613,574,4.7,437,28,Low,1,15.0,0,0,0,Email,Premium,Direct,0,0
86505.35,Part-time,Midwest,12.6,1,0.617,595,4.4,469,18,High,1,29.0,0,1,0,Phone,Gold,Third-Party,1,0
72565.99,Contract,Midwest,2.8,0,0.617,595,4.4,469,18,High,1,25.0,0,0,1,Phone,Silver,Direct,1,0
55144.16,Full-time,Midwest,4.6,1,0.617,595,4.4,469,18,High,1,17.0,0,1,0,Email,Silver,Direct,1,0
51602.38,Full-time,Midwest,5.1,1,0.617,595,4.4,469,18,High,1,-47.0,1,1,0,SMS,Basic,Third-Party,1,0
50993.32,Part-time,West,2.6,0,0.613,574,4.7,437,28,Low,1,-24.0,1,1,0,Email,Basic,Direct,0,0
68037.38,Full-time,South,4.5,0,0.628,481,3.3,324,17,Medium,1,27.0,0,0,0,SMS,Standard,Direct,0,0
80983.46,Full-time,West,11.5,1,0.613,574,4.7,437,28,Low,1,5.0,0,1,0,Email,Silver,Employer-Sponsored,1,0
68098.55,Full-time,South,0.5,1,0.628,481,3.3,324,17,Medium,1,22.0,0,1,0,SMS,Standard,Direct,1,0
66570.65,Contract,West,1.3,1,0.613,574,4.7,437,28,Low,1,17.0,0,0,1,Phone,Standard,Third-Party,1,0
50693.26,Part-time,Northeast,0.4,0,0.612,455,3.1,151,38,Low,1,28.0,0,1,0,Phone,Bronze,Employer-Sponsored,1,0
47231.54,Full-time,Midwest,5.1,0,0.617,595,4.4,469,18,High,1,9.0,0,0,0,Email,Basic,Employer-Sponsored,0,0
67785.31,Part-time,West,2.1,1,0.613,574,4.7,437,28,Low,1,-125.0,1,1,0,Email,Silver,Employer-Sponsored,1,0
82890.77,Part-time,Northeast,0.5,0,0.612,455,3.1,151,38,Low,1,98.0,0,1,0,Email,Silver,Third-Party,0,0
71693.35,Full-time,Northeast,1.0,1,0.612,455,3.1,151,38,Low,1,8.0,0,0,1,Phone,Silver,Third-Party,0,0
51886.44,Full-time,Northeast,3.4,0,0.612,455,3.1,151,38,Low,1,7.0,0,1,0,Unknown,Basic,Third-Party,0,0
102042.51,Full-time,West,9.0,1,0.613,574,4.7,437,28,Low,1,21.0,0,0,1,Email,Premium,Direct,0,0
84280.76,Contract,West,8.8,1,0.613,574,4.7,437,28,Low,1,10.0,0,0,1,Email,Silver,Unknown,1,0
53277.72,Full-time,South,3.6,1,0.628,481,3.3,324,17,Medium,1,26.0,0,0,1,Phone,Unknown,Direct,1,0
61774.24,Part-time,Midwest,6.2,1,0.617,595,4.4,469,18,High,1,51.0,0,1,0,Phone,Silver,Unknown,1,0
49007.94,Full-time,Midwest,1.6,1,0.617,595,4.4,469,18,High,1,10.0,0,0,1,Email,Unknown,Employer-Sponsored,1,0
38736.06,Part-time,Midwest,2.7,0,0.617,595,4.4,469,18,High,1,15.0,0,0,0,Phone,Basic,Third-Party,1,0
53191.67,Full-time,South,3.5,0,0.628,481,3.3,324,17,Medium,1,5.0,0,0,0,SMS,Unknown,Direct,0,0
44027.43,Full-time,Midwest,1.8,0,0.617,595,4.4,469,18,High,1,-22.0,1,0,0,Unknown,Basic,Employer-Sponsored,0,0
62996.15,Full-time,West,1.3,1,0.613,574,4.7,437,28,Low,1,9.0,0,0,0,Email,Silver,Third-Party,1,0
77165.29,Full-time,Midwest,1.4,1,0.617,595,4.4,469,18,High,1,-186.0,1,0,1,Email,Standard,Employer-Sponsored,1,0
57020.58,Part-time,Northeast,0.9,0,0.612,455,3.1,151,38,Low,1,84.0,0,1,0,Phone,Standard,Direct,1,0
76279.99,Full-time,West,0.4,1,0.613,574,4.7,437,28,Low,1,16.0,0,1,0,Unknown,Silver,Unknown,1,0
52922.49,Part-time,West,0.8,0,0.613,574,4.7,437,28,Low,1,29.0,0,1,0,Unknown,Bronze,Employer-Sponsored,1,0
72408.24,Full-time,South,0.9,1,0.628,481,3.3,324,17,Medium,1,156.0,0,1,0,Unknown,Standard,Employer-Sponsored,0,0
71380.63,Full-time,Northeast,1.9,1,0.612,455,3.1,151,38,Low,1,-89.0,1,1,0,Phone,Silver,Direct,1,0
66800.01,Part-time,West,1.1,0,0.613,574,4.7,437,28,Low,1,18.0,0,0,0,Email,Standard,Third-Party,0,0
63707.34,Full-time,Northeast,1.0,1,0.612,455,3.1,151,38,Low,1,86.0,0,0,1,SMS,Silver,Third-Party,1,0
68988.18,Full-time,South,1.8,1,0.628,481,3.3,324,17,Medium,1,27.0,0,0,1,Unknown,Standard,Direct,1,0
62096.22,Full-time,South,6.0,1,0.628,481,3.3,324,17,Medium,1,5.0,0,1,0,Unknown,Silver,Unknown,0,0
47164.87,Full-time,Northeast,2.9,1,0.612,455,3.1,151,38,Low,1,8.0,0,0,1,Email,Basic,Third-Party,1,0
50338.29,Full-time,West,2.6,1,0.613,574,4.7,437,28,Low,1,-155.0,1,0,1,Unknown,Unknown,Direct,1,0
34564.68,Full-time,West,6.1,0,0.613,574,4.7,437,28,Low,1,-129.0,1,0,1,SMS,Bronze,Third-Party,0,0
61190.79,Full-time,South,5.3,1,0.628,481,3.3,324,17,Medium,1,17.0,0,0,0,Phone,Standard,Employer-Sponsored,0,0
54972.67,Full-time,West,5.8,1,0.613,574,4.7,437,28,Low,1,26.0,0,0,1,Unknown,Basic,Employer-Sponsored,1,0
86513.04,Full-time,South,21.4,0,0.628,481,3.3,324,17,Medium,1,3.0,0,0,0,Email,Gold,Direct,0,1
56212.8,Contract,South,12.5,0,0.628,481,3.3,324,17,Medium,1,10.0,0,1,0,Phone,Standard,Direct,0,0
44938.4,Full-time,Northeast,8.1,1,0.612,455,3.1,151,38,Low,1,9.0,0,0,1,Phone,Basic,Third-Party,1,0
67475.7,Full-time,Midwest,3.7,1,0.617,595,4.4,469,18,High,1,21.0,0,0,1,Email,Standard,Employer-Sponsored,1,0
73817.26,Full-time,Midwest,1.5,1,0.617,595,4.4,469,18,High,1,93.0,0,0,1,SMS,Standard,Direct,1,0
60862.58,Full-time,Northeast,3.1,1,0.612,455,3.1,151,38,Low,1,-183.0,1,0,0,Email,Standard,Employer-Sponsored,1,0
54069.47,Full-time,West,2.8,0,0.613,574,4.7,437,28,Low,1,29.0,0,0,0,Email,Basic,Third-Party,1,0
73187.35,Part-time,South,4.8,0,0.628,481,3.3,324,17,Medium,1,-69.0,1,0,0,Email,Silver,Direct,0,0
68986.32,Contract,South,8.1,1,0.628,481,3.3,324,17,Medium,1,25.0,0,0,1,Email,Silver,Employer-Sponsored,1,0
71024.81,Full-time,Midwest,1.8,1,0.617,595,4.4,469,18,High,1,29.0,0,0,0,Phone,Silver,Third-Party,1,0
73973.31,Contract,Midwest,3.9,1,0.617,595,4.4,469,18,High,1,80.0,0,1,0,Unknown,Standard,Direct,1,0
73888.35,Part-time,West,1.9,0,0.613,574,4.7,437,28,Low,1,12.0,0,1,0,Phone,Standard,Unknown,0,0
77855.43,Full-time,Northeast,0.6,1,0.612,455,3.1,151,38,Low,1,23.0,0,1,0,Email,Silver,Direct,1,0
53331.63,Full-time,South,7.0,0,0.628,481,3.3,324,17,Medium,1,23.0,0,0,0,SMS,Bronze,Employer-Sponsored,1,0
49263.44,Full-time,Northeast,2.0,0,0.612,455,3.1,151,38,Low,1,10.0,0,0,0,Phone,Basic,Direct,0,0
53773.67,Full-time,West,16.1,0,0.613,574,4.7,437,28,Low,1,12.0,0,0,1,Phone,Bronze,Direct,0,0
69745.22,Full-time,Northeast,6.9,1,0.612,455,3.1,151,38,Low,1,9.0,0,0,1,Unknown,Silver,Employer-Sponsored,1,0
73432.14,Full-time,West,1.5,1,0.613,574,4.7,437,28,Low,1,299.0,0,0,0,Email,Standard,Direct,1,0
52010.69,Full-time,Midwest,2.9,0,0.617,595,4.4,469,18,High,1,127.0,0,0,1,Phone,Basic,Employer-Sponsored,0,0
52833.49,Full-time,Midwest,1.7,1,0.617,595,4.4,469,18,High,1,102.0,0,0,1,Email,Bronze,Third-Party,1,0
79019.84,Full-time,Midwest,2.5,1,0.617,595,4.4,469,18,High,1,21.0,0,0,1,Phone,Standard,Direct,1,0
49263.43,Full-time,South,7.4,1,0.628,481,3.3,324,17,Medium,0,,0,0,1,Phone,Basic,Unknown,1,0
74581.09,Full-time,Midwest,9.6,1,0.617,595,4.4,469,18,High,1,-143.0,1,0,1,Phone,Silver,Unknown,0,0
50178.33,Part-time,Midwest,9.8,0,0.617,595,4.4,469,18,High,1,2.0,0,0,0,Email,Basic,Employer-Sponsored,0,0
86072.07,Full-time,West,3.6,1,0.613,574,4.7,437,28,Low,1,14.0,0,1,0,Unknown,Gold,Direct,1,0
80768.37,Full-time,South,1.0,1,0.628,481,3.3,324,17,Medium,1,-144.0,1,1,0,Unknown,Standard,Direct,1,0
